"","CTRL1","CTRL2","CTRL3","CTRL4","AA1","AA2","AA3","AA4"
"LIMCH1",4.44841674817532,4.29582909571303,4.81444034101165,5.6037180209685,4.6234121056042,4.74436262568255,5.98104763236995,5.85619990422678
"MON2",7.14782951335744,6.49204152852969,7.27580612437666,6.66181511564208,7.34442477118247,7.14216871723557,7.42276643699427,7.42812937680166
"WAPL",6.25601216673074,6.73664294188857,6.75138962112847,6.97685346091893,6.79282656716757,6.48289997397132,7.70762968664433,7.80670322473504
"SWAP70",4.74003250262918,4.91554910528308,5.237428492243,4.4025682927149,5.50885619922592,5.27755560258765,5.0784566234154,5.02628175235706
"DCUN1D4",5.9915392283111,6.70200311639886,6.4976745620315,6.97658773001989,6.52518567646634,6.64514594349464,7.23914690042964,7.21315086791869
"CLCC1",2.85396918586984,3.5006235662755,2.91289853159501,3.25930077198193,3.22767297740507,3.12062264640434,3.77627111158929,4.00217159529023
"MTCL1",6.66749598005083,7.27073579625747,7.01973684533384,7.54313052145138,7.16893745660886,6.9049387492654,8.10111056574403,8.01880132704113
"PPIP5K2",6.4893945902167,7.054649459641,6.70151254528037,6.7521242105179,6.82040406346418,6.44391672716485,7.61034137867748,8.09878756635766
"ATMIN",5.6739473142347,6.44511887214772,6.08080255632491,6.09798499854024,6.1440199213842,5.91850202252437,6.84406777834088,7.07427806781014
"FMR1",6.6949665025861,6.88980533427585,7.25509672454717,6.46815936943824,7.21588375770722,6.98187966549018,7.13558370571829,7.49335720107586
"U2SURP",5.69687261432077,6.26279473782513,5.97093404551466,6.67870102441509,6.19319941103616,5.90843292571659,7.00308753171537,7.18176535297718
"PSD3",4.83357542513579,4.91161466060696,5.08647580999337,5.4425514888217,5.10116903952039,4.97694099551037,5.93645130035495,6.31878727929327
"TTC33",5.08383584705778,5.03543957617548,5.33869832578038,4.79384005978172,5.53738304186657,5.54845476997488,5.43118570122067,5.54845476997488
"GSPT2",7.19333993943539,7.02120904052277,7.48929065283561,6.93982270953237,7.51368867605442,7.33330955527487,7.42050330652177,7.60098911960006
"MAFF",8.21458220493254,8.09163580860279,8.64834964952568,7.82316431380932,8.87893503395198,8.63325818293446,8.50361360648651,8.48774357218648
"FJX1",8.26860294506369,9.35909121561728,8.62444772116459,8.00220054452359,9.20235190011843,9.26522591262792,9.17145895203088,9.03741635638558
"TNFAIP8",5.72892518706098,5.78619776192158,6.00737840635321,5.97102062385759,6.6739362902479,6.53651615655539,6.89999928917454,7.06238011057096
"RCHY1",6.53275031860541,6.56549267050963,7.05716546584574,6.91029426793135,7.01167352035064,6.84720176813076,7.4360309238061,7.61957998299977
"RAI14",8.07652330502003,7.79149829455565,8.31057452800393,8.54012904520301,8.2741682520616,8.22466622106266,8.73650014988202,8.89687890929855
"LSM14A",6.0507864406347,6.63798729118004,6.1195724956054,6.2798017657,6.25243668509247,6.61076417728557,6.70400290412665,7.073620223219
"AMD1",7.63323136107577,7.66340539924268,7.905899616399,7.12622084274545,8.04603403251652,8.17386827954684,8.09058115958955,8.08928477031571
"FBXL5",5.28127212146166,5.38933295994522,6.04749727707517,5.55465104622174,5.94992385568517,5.6744404652215,5.96424184627462,6.30919172395442
"GCH1",7.00038444590921,7.16933246397856,7.42170527761862,6.62827860390253,7.72127188970073,7.45481601538168,7.6248496291731,7.81114539225217
"GFPT1",7.27597320062363,7.29634665047442,7.7501801542071,7.66968416290722,7.65882657935525,7.71501005429709,8.00684012636532,8.11688063886871
"AMPD1",5.5828474066086,5.21052856230152,5.17942411347884,5.13317692879557,5.21448343465991,4.98375583137437,4.7133501301335,4.68088932919174
"GK",6.36914474107295,6.25803411882053,6.63539845389854,6.71403852049178,6.62482820910241,6.91079572753841,6.8944793560364,6.85629944249686
"GCLM",6.93899449280721,6.9959783473074,7.36406415227341,8.42343169212914,7.20783004826556,7.09133675009776,8.75955317661354,8.95238606769949
"CXCL1",6.68135337831517,6.98251240875007,6.72321675209146,6.13163063885092,10.9463795810128,11.2554033100487,10.5046996444608,10.6586133174586
"CXCL2",6.22290375299468,5.61248927125499,6.52003828996526,5.39505624761266,11.2456271479525,11.3348949069628,10.6776050934386,10.78409459891
"CXCL3",5.39413952739333,4.3336850509794,5.92553030665572,3.92695738468354,9.76776832779327,9.8208744307357,8.92614908975173,9.21615512950359
"GTF2H1",7.59180364726856,7.32060281501749,7.88629510754594,7.28146761938143,7.93636077382737,7.95423074226515,7.79236813402206,7.82746195320953
"NRBF2",7.66307995515394,7.30764745930791,7.90846208038159,6.95311468711133,7.91623897334495,7.86514787904289,7.66370909815088,7.97238519179662
"H1-3",6.41742635412825,6.31259736377392,6.28853043816157,6.36299750467151,6.29303516285202,6.26962399996647,5.68478273814444,5.86009963401889
"H3-3A",8.05463450602939,8.73295778726015,7.8988008129649,7.23499080744444,7.65863309777017,7.92248519947259,7.01633256280838,7.4540087183345
"HHEX",6.41813673168196,7.07243686973903,7.03208916593509,6.33232785440767,7.81971088716816,7.92536339531734,8.1216760652137,8.01124865529689
"HMGCR",7.38358053994894,8.2919987658816,7.66802132133849,8.40707620401646,7.76690413639827,7.95151835924893,8.88862529459429,9.09486627626641
"HNRNPH3",7.67165847541489,7.06645171183419,8.42236181972871,7.18274126833896,8.28817329852877,8.09773507600696,7.70956157019385,7.91328843452664
"HPGD",5.69298583232885,6.83489639113771,6.33627136509175,7.28315283763167,6.28048461442772,6.4777545852202,7.90776271657201,7.81794462892582
"BIRC2",8.87121727410624,8.67319379442313,9.06433627372919,8.6078785280358,9.30712976540864,9.34116102450583,9.39494090758456,9.57336185820693
"BIRC3",4.80965294821255,4.03095862925889,4.94317496559952,3.25930077198193,6.82443271770916,6.69846340879116,6.1798116981823,6.17167189177633
"ICAM1",8.44385428266999,8.33112239223188,8.61827755952256,7.53177335034936,10.0532474785851,10.0007669784812,9.76049169211498,9.61023979245929
