"","CTRL1","CTRL2","CTRL3","CTRL4","AA1","AA2","AA3","AA4"
"201514_s_at",7.600050635255,8.17495734667957,7.68549349972264,8.18379827375289,7.72804469024043,7.7937228942299,8.37764837746369,8.13467887233159
"205018_s_at",5.35101494381503,5.59535575393736,5.49508071189549,6.30643131049827,5.6929744852916,5.47726324898222,6.64238114837518,6.59762247275177
"218589_at",7.16925732091981,6.47221844878534,7.56646352017861,6.30446094072157,7.38614853282788,7.27787096076854,6.51550781398264,6.41975791328868
"202793_at",5.81065885540238,6.11266636465513,5.84662128062908,6.4901957397318,6.04802229408808,5.94123018846336,6.61019039275038,6.58556875984798
"218653_at",6.6926228179612,7.24269572346003,6.73343266958103,7.08597806085345,6.64240870580241,6.65090537382908,7.18376491971549,7.37850041093892
"211804_s_at",6.60864117179191,7.87543003673455,6.73414330414689,7.72325709315701,6.96145443849076,6.78431107230615,7.50787213407849,7.21359148687118
"219799_s_at",6.27731384784703,5.86466354117808,6.37774563155065,5.76377582048548,6.33997360329686,6.28360998920853,5.51858570375961,5.53745148070613
"201967_at",7.12731029089394,6.72611949283189,7.16432911940378,6.1286927334068,7.22306895839411,7.04789638516211,6.41050451392787,6.41797714816333
"201395_at",8.84627696820321,8.31878078058872,8.91158605181778,7.96122903357502,8.88044853423114,8.8245867326686,8.25564237430264,8.41319721032779
"218656_s_at",6.36452222576007,6.09200113833052,6.75065643435147,5.51193260229608,6.52219413744414,6.66658284075631,6.03305970735693,6.21534804295271
"213320_at",5.37411452837218,6.07851922477262,5.62308941362781,6.02405027989158,5.77240684984335,5.55934083539321,6.43861398073568,6.77955994778849
"200987_x_at",7.06603484588641,8.17525784544708,7.4735049330487,8.39604344362718,7.45427114124842,7.44882323254105,8.44719355873862,8.46016070332426
"215731_s_at",5.02806864077119,5.52988578568578,4.87508799032016,5.48028017650658,5.02297761268526,4.96454558968117,5.75772731790742,5.93222438553086
"202603_at",7.7889752319433,7.43049405504663,8.18039062940958,7.50316286954937,8.05624132033824,8.19856099315108,8.01795248375463,8.17094943913512
"205851_at",6.73736684865602,6.38070941596075,6.74339434507,6.23478551124253,6.82240523443205,6.57783887261436,6.2735502259362,6.25486890531967
"214079_at",5.71170328139964,6.76984128587349,6.13345193060126,7.22501219768869,6.30039571243649,5.99005523376215,7.42011072666167,7.61159969175113
"201584_s_at",8.64759426988168,9.54336894855611,8.87585328511866,9.16175643944864,9.00088957654064,8.89873795184937,9.58637118254772,9.59013547409025
"212296_at",9.39379778521539,9.962041450235,9.6451881017755,10.331323149839,9.5687964948852,9.62301316103285,10.495372566977,10.6436539278786
"216860_s_at",6.6522243699796,7.02126367760124,6.23201482378682,6.97009148890774,6.49739425483942,6.22697396712661,7.05306966491487,6.80009097168523
"202122_s_at",8.81052976928804,9.44032747547075,8.81753472316056,9.32308669620326,8.90275774866564,8.82989840052628,9.47810052124946,9.39681755939368
"208765_s_at",8.69824637614815,9.09160210568978,8.72654967906688,9.50475591968831,8.79701052271398,8.85233495081539,9.46658504644648,9.50443126143919
"220773_s_at",6.18284205191908,6.80066820353905,6.43158817781424,6.81948334266642,6.33829367084394,6.09054332324597,6.96903732774943,7.18212033653029
"203198_at",6.75508471535412,6.85934668024542,6.62478759761095,5.96169670357415,6.65437349570728,6.74607795719989,6.39356219887949,5.91827425145019
"204011_at",8.35782847835846,7.27787096076854,8.63576440092818,7.10656371376484,8.34381769789423,8.25844948171673,7.47050529756981,7.53857897732727
"203196_at",5.87393416360753,6.57949863290151,6.06918450904922,6.98655989382041,6.12649041629639,6.19858688471938,7.61240172425984,7.49216548537073
"203252_at",8.97542500123401,8.47929666698539,8.98850462568737,8.06734528839161,9.04633085971889,9.09341825036448,8.34076818030837,8.30753433005476
"209112_at",7.16261862512509,6.17418713233377,7.39921954249362,5.73430412818782,7.23707926661966,6.98855913747802,6.27981520162596,6.55886420957424
"202293_at",5.13741988788359,5.91230058532527,5.37923407831012,5.72017546153435,5.41285555997274,5.10464303117355,6.22500967270508,6.42348053665619
"201830_s_at",9.14198004279601,8.54594558173274,9.412969990144,7.84453534553209,9.34721313215113,9.30947167459636,8.37267108994954,8.1712679518821
"215533_s_at",5.41935545041595,5.83201253375059,5.31016215888132,6.14627605845212,5.35911238790907,5.37101089067444,6.371496785365,6.23117421231243
"208165_s_at",5.90569605748694,5.5587103361735,5.82675300114484,5.17273507045952,5.97835960597369,5.64115569071251,5.39838040298928,5.25262990486511
"213348_at",8.07269171236806,7.41817403534489,7.98473838770776,6.85927885333356,7.91212237788034,8.02059733884898,6.95747362728422,6.89562335598754
"202710_at",7.79390139410805,7.2674696091588,7.99448145840806,7.08037945751988,8.03183653358862,7.96636876880015,7.49191485716136,7.51364318927067
"201738_at",9.91801091914994,9.46972567867571,10.0297625501164,9.10072573622692,10.1379528887176,10.0492425209761,9.34765530296082,9.42613911267802
"207039_at",8.36135432850386,7.22681396328174,8.15603721897945,6.13959664817044,8.45557477146677,8.05745167877016,6.53589477149649,6.45190436094214
"202030_at",6.60218929805385,7.04497469800851,6.53005455465791,7.37725050641678,6.47081908244965,6.48443667717536,7.36640570025747,7.33833532168656
"207922_s_at",7.81287532582896,8.18647731480477,7.96386252766294,8.3084785015265,8.02028395752964,7.81158797662791,8.55808727453532,8.65760954659183
"201736_s_at",7.83268809892226,8.24521600083196,8.24791222837882,8.82504913614291,8.12223703569181,8.02162190468379,8.92581479793362,9.0702893870242
"201786_s_at",10.5968794283129,9.16142855493008,10.6227037105149,9.19865650680611,10.5855094813995,10.7321179836947,9.46843400456983,9.53880688969372
"207530_s_at",6.85538498010657,5.35369659120774,6.4691901784307,5.63881904816353,6.78074414475729,7.15151856137808,5.31045862579297,5.26629489576957
"203163_at",5.43804475198411,6.3013260345123,5.65514395077444,6.07884728512134,5.48898759611403,5.85687491721919,6.34592039966765,6.07831360688806
"205677_s_at",7.62707973600657,8.02425884807282,7.68604341957951,7.71452239347579,7.36499643667816,7.41261058286218,7.9475818692313,8.15066244740662
"204158_s_at",7.5991020743959,7.60719012244392,7.61728640510898,6.99711912715591,7.66017606456982,7.57421442493521,7.16623203015863,7.04679707218666
"219549_s_at",8.94401765983087,9.43751502149437,9.20793132585733,9.73094269217234,9.01911972483493,9.13695490399822,9.76305896029237,9.59886525254198
"207196_s_at",7.67805623165536,8.39508789086089,7.74412823955665,8.09294394714794,8.09957255027081,7.78995678767973,8.7356111374073,8.67361917213079
"205540_s_at",5.64501915655847,5.50009490091587,5.8041610497773,5.13806912943988,5.77931314984429,5.64880939584696,5.42452634035715,5.0240241071301
"204807_at",5.00705329796454,4.24147445620854,5.23456240546254,4.6599109412169,5.48757370223357,5.09357622560222,5.46746001767567,5.2551907377065
"209714_s_at",8.07286091611528,9.93417479594581,8.1509400489174,10.0155727839633,8.17293630147001,8.2542633818962,10.24348580628,10.1984305104304
"209797_at",6.75090656006808,7.17312381904046,7.29304914451865,6.58175048607502,7.08779662848479,7.08160354903742,7.28080711046509,7.21530965099639
"213293_s_at",8.02318949191949,4.19441346981205,8.89341230177296,4.41443232434066,8.5078853714749,8.2268935427585,4.07413289686085,4.21378786979351
"218766_s_at",5.50342581387274,6.04318736649602,5.46783551671775,6.13522116698526,5.45707850743389,5.76226381555248,6.38333257116148,6.59239253059364
"209357_at",7.78052386150925,6.85238731510476,8.04944485644633,6.03988381257407,7.74158181060461,7.54448352948589,6.41933656787787,6.41554999790541
"206805_at",7.16022239612027,6.49965199713416,7.51971531255567,6.52596730295904,7.50156505617109,7.47681860019071,6.77284586016605,6.60984070722404
